percentage,platform,label_rows,member_rows,transaction_rows,listening_rows,transaction_chunks,listening_chunks,output_rows,distinct_users,transaction_count_checksum,active_days_checksum,listening_seconds_checksum,peak_rss_bytes,end_to_end_runtime_seconds,labels_and_members_seconds,transaction_aggregation_seconds,listening_aggregation_seconds,join_and_write_seconds
1,Python/pandas local,9956,8794,27452,132837,2,2,9956,9956,27452,132837,1048032061.283,103489536,0.39649330000065675,0.04588830000011512,0.06441029999950842,0.18133690000013303,0.10213549999934912
5,Python/pandas local,50052,44216,137604,665269,5,5,50052,50052,137604,665269,5250956192.47,148234240,1.5136591999998927,0.11582980000002863,0.2590090000003329,0.8062190000000555,0.3203776000000289
10,Python/pandas local,99550,87859,273839,1322519,10,10,99550,99550,273839,1322519,10414014340.191,189587456,2.924400699999751,0.2450023000001238,0.5374362000002293,1.458328600000641,0.6592305999993187
20,Python/pandas local,199020,175402,547654,2643161,20,20,199020,199020,547654,2643161,20902387997.957,279330816,5.727468500000214,0.4282671000000846,0.9768893000000389,2.4907725000002756,1.7908045000003767
